OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
1189,2611,5252601,Crossroads Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,10038.6975111263,1670301.25980773
1190,6923,7261801,Hix Park,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,536.82463527759,17130.942950782
1191,15376,4251504,Union Bay Boglands,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1588.86964401459,59332.8437586033
1192,7206,3242503,E.C. Hughes Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2124.36621193487,276560.028599404
1193,2959,5261703,Tolt Pipeline Trail Site,Trail Site Regional,Other Utility District,Other Government,King County Parks and Recreation,King County Parks,Other Utility District,Other Government,158695.606325573,7346094.31153333
1194,2977,4233601,Interurban Trail Site - Kent,Trail Site Regional,Puget Sound Energy,Other Government,King County Parks and Recreation,King County Parks,City of Kent,City,62239.9670945227,905110.338083516
1195,2952,5231202,Cedar River to Lake Sammamish Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,17952.6812492342,948857.399461254
1196,7204,4241606,Lake People Park (Xacuabs),Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,609.980205010077,22928.9408953646
1197,7817,5253203,Surrey Downs Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3352.87214383837,499401.702585272
1198,2519,4232201,Crystal Springs Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,3960.19643699754,481044.4549345
1199,2399,5213001,Cedar Lanes Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,2618.57337676022,367510.11308199
1200,2407,3263401,Golden Gardens Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,23299.5602246506,4156349.94579786
1201,2818,5250505,Cotton Hill Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,2003.04865143599,148745.580890737
1202,7096,4250905,Park Home Circle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,188.48756523625,2826.91240657724
1203,7957,4231403,57th Avenue South Mini Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,641.189472205509,16637.5149548707
1204,5067,4261001,Pfingst Animal Acres Park,Park Site,City of Lake Forest Park,City,City of Lake Forest Park,City,City of Lake Forest Park,City,1652.09864867808,167022.647459614
1205,7079,3262401,Llandover Woods Greenspace,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4602.80697409338,395874.631285479
1206,7056,4240912,College Street Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,629.128847872398,18208.214662712
